x,y,yaw,road_id,lane_id
199.460678,-207.604187,1.59373733,17,-1
199.437744,-206.604462,1.59373733,17,-1
199.414795,-205.604721,1.59373733,17,-1
199.391861,-204.60498,1.59373733,17,-1
199.368927,-203.60524,1.59373733,17,-1
199.345978,-202.605515,1.59373733,17,-1
199.323044,-201.605774,1.59373733,17,-1
199.30011,-200.606033,1.59373733,17,-1
199.277161,-199.606293,1.59373733,17,-1
199.254227,-198.606552,1.59373733,17,-1
199.231293,-197.606827,1.59373733,17,-1
199.208344,-196.607086,1.59373733,17,-1
199.18541,-195.607346,1.59373733,17,-1
199.162476,-194.60762,1.59373733,17,-1
199.139526,-193.60788,1.59373733,17,-1
199.116592,-192.608139,1.59373733,17,-1
199.093643,-191.608398,1.59373733,17,-1
199.070709,-190.608658,1.59373733,17,-1
